time,geo,variable,value
2020-03-16,zrh_stmpf,kbi_pm10,1
2020-03-16,zrh_stmpf,no2,48.73
2020-03-16,zrh_stmpf,o3_max_h,77.32
2020-03-16,zrh_stmpf,p,969.78
2020-03-16,zrh_stmpf,pm10,11.09
2020-03-16,zrh_stmpf,t,10.97
2020-03-17,zrh_heub,no2,10.31
2020-03-17,zrh_heub,o3_max_h,88.14
2020-03-17,zrh_rsgrt,kbi,1
2020-03-17,zrh_rsgrt,kbi_no2,1
2020-03-17,zrh_rsgrt,kbi_o3,1
2020-03-17,zrh_rsgrt,kbi_pm10,1
2020-03-17,zrh_rsgrt,no2,49.69
2020-03-17,zrh_rsgrt,o3_max_h,66.5
2020-03-17,zrh_rsgrt,pm10,18.67
2020-03-17,zrh_schmls,kbi,1
2020-03-17,zrh_schmls,kbi_no2,1
2020-03-17,zrh_schmls,kbi_o3,1
2020-03-17,zrh_schmls,kbi_pm10,1
2020-03-17,zrh_schmls,no2,46.82
2020-03-17,zrh_schmls,o3_max_h,73.98
2020-03-17,zrh_schmls,pm10,18.19
2020-03-17,zrh_stmpf,kbi,1
2020-03-17,zrh_stmpf,kbi_no2,1
2020-03-17,zrh_stmpf,kbi_o3,1
2020-03-17,zrh_stmpf,kbi_pm10,1
2020-03-17,zrh_stmpf,no2,32
2020-03-17,zrh_stmpf,o3_max_h,84.81
2020-03-17,zrh_stmpf,p,978.06
2020-03-17,zrh_stmpf,pm10,12.6
2020-03-17,zrh_stmpf,t,12.21
2020-03-18,zrh_heub,no2,10.24
2020-03-18,zrh_heub,o3_max_h,99.31
2020-03-18,zrh_rsgrt,kbi,1
2020-03-18,zrh_rsgrt,kbi_no2,1
2020-03-18,zrh_rsgrt,kbi_o3,1
2020-03-18,zrh_rsgrt,kbi_pm10,1
2020-03-18,zrh_rsgrt,no2,51
2020-03-18,zrh_rsgrt,o3_max_h,76.18
2020-03-18,zrh_rsgrt,pm10,24.1
2020-03-18,zrh_schmls,kbi,1
2020-03-18,zrh_schmls,kbi_no2,1
2020-03-18,zrh_schmls,kbi_o3,1
2020-03-18,zrh_schmls,kbi_pm10,1
2020-03-18,zrh_schmls,no2,51.03
2020-03-18,zrh_schmls,o3_max_h,79.49
2020-03-18,zrh_schmls,pm10,25.02
2020-03-18,zrh_stmpf,kbi,1
2020-03-18,zrh_stmpf,kbi_no2,1
2020-03-18,zrh_stmpf,kbi_o3,1
2020-03-18,zrh_stmpf,kbi_pm10,1
2020-03-18,zrh_stmpf,no2,37.34
2020-03-18,zrh_stmpf,o3_max_h,86.45
2020-03-18,zrh_stmpf,p,976.18
2020-03-18,zrh_stmpf,pm10,21.28
2020-03-18,zrh_stmpf,t,12.67
2020-03-19,zrh_heub,no2,16.63
2020-03-19,zrh_heub,o3_max_h,97.59
2020-03-19,zrh_rsgrt,kbi,1
2020-03-19,zrh_rsgrt,kbi_no2,1
2020-03-19,zrh_rsgrt,kbi_o3,1
2020-03-19,zrh_rsgrt,kbi_pm10,1
2020-03-19,zrh_rsgrt,no2,56.82
2020-03-19,zrh_rsgrt,o3_max_h,76.16
2020-03-19,zrh_rsgrt,pm10,33.13
2020-03-19,zrh_schmls,kbi,1
2020-03-19,zrh_schmls,kbi_no2,1
2020-03-19,zrh_schmls,kbi_o3,1
2020-03-19,zrh_schmls,kbi_pm10,1
2020-03-19,zrh_schmls,no2,50.72
2020-03-19,zrh_schmls,o3_max_h,77.26
2020-03-19,zrh_schmls,pm10,32.36
2020-03-19,zrh_stmpf,kbi,1
2020-03-19,zrh_stmpf,kbi_no2,1
2020-03-19,zrh_stmpf,kbi_o3,1
2020-03-19,zrh_stmpf,kbi_pm10,1
2020-03-19,zrh_stmpf,no2,42.28
2020-03-19,zrh_stmpf,o3_max_h,87.12
2020-03-19,zrh_stmpf,p,972.3
2020-03-19,zrh_stmpf,pm10,28.94
2020-03-19,zrh_stmpf,t,13.51
2020-03-20,zrh_heub,no2,11.57
2020-03-20,zrh_heub,o3_max_h,104.77
2020-03-20,zrh_rsgrt,kbi,1
2020-03-20,zrh_rsgrt,kbi_no2,1
2020-03-20,zrh_rsgrt,kbi_o3,1
2020-03-20,zrh_rsgrt,kbi_pm10,1
2020-03-20,zrh_rsgrt,no2,43.34
2020-03-20,zrh_rsgrt,o3_max_h,87.94
2020-03-20,zrh_rsgrt,pm10,31.31
2020-03-20,zrh_schmls,kbi,2
2020-03-20,zrh_schmls,kbi_no2,1
2020-03-20,zrh_schmls,kbi_o3,2
2020-03-20,zrh_schmls,kbi_pm10,1
2020-03-20,zrh_schmls,no2,39.16
2020-03-20,zrh_schmls,o3_max_h,94.08
2020-03-20,zrh_schmls,pm10,31.74
2020-03-20,zrh_stmpf,kbi,2
2020-03-20,zrh_stmpf,kbi_no2,1
2020-03-20,zrh_stmpf,kbi_o3,2
2020-03-20,zrh_stmpf,kbi_pm10,1
2020-03-20,zrh_stmpf,no2,30.05
2020-03-20,zrh_stmpf,o3_max_h,94.99
2020-03-20,zrh_stmpf,p,968.93
2020-03-20,zrh_stmpf,pm10,29.17
2020-03-20,zrh_stmpf,t,13.57
2020-03-21,zrh_heub,no2,6.29
2020-03-21,zrh_heub,o3_max_h,90.01
