time,group,geo,value
2020-01-11,tages_distanz_2-10km,ch,21.5088432189903
2020-01-11,tages_distanz_2-10km_alter_1529,ch,18.5897658398878
2020-01-11,tages_distanz_2-10km_alter_3064,ch,21.0753908085186
2020-01-11,tages_distanz_2-10km_alter_6579,ch,27.9620000044429
2020-01-11,tages_distanz_20-50km,ch,21.3160780185053
2020-01-11,tages_distanz_20-50km_alter_1529,ch,21.2185766658571
2020-01-11,tages_distanz_20-50km_alter_3064,ch,22.5788222252051
2020-01-11,tages_distanz_20-50km_alter_6579,ch,15.8123157114485
2020-01-11,tages_distanz_50-100km,ch,17.0054746254912
2020-01-11,tages_distanz_50-100km_alter_1529,ch,21.2019925172458
2020-01-11,tages_distanz_50-100km_alter_3064,ch,17.25849204058
2020-01-11,tages_distanz_50-100km_alter_6579,ch,9.38567795346942
2020-01-11,tages_distanz_weniger2km,ch,15.2384452386099
2020-01-11,tages_distanz_weniger2km_alter_1529,ch,13.8770831716052
2020-01-11,tages_distanz_weniger2km_alter_3064,ch,13.3860432940445
2020-01-11,tages_distanz_weniger2km_alter_6579,ch,25.6377021585033
2020-01-11,total,ch,19.1196988124152
2020-01-11,total,rural,26.7213286161461
2020-01-11,total,urban,14.6576237710787
2020-01-11,total,zh,16.134534833303
2020-01-11,weiblich,ch,17.6701443259187
2020-01-12,alter_1529,ch,17.4872099630111
2020-01-12,alter_3064,ch,13.8743186940714
2020-01-12,alter_6579,ch,7.08397447414972
2020-01-12,erwerbstaetig,ch,15.1571153941263
2020-01-12,in_ausbildung,ch,15.5539192158887
2020-01-12,maennlich,ch,14.2035593234789
2020-01-12,nicht_erwerbstaetig,ch,5.9038947187079
2020-01-12,tages_distanz_10-20km,ch,12.9739125146929
2020-01-12,tages_distanz_10-20km_alter_1529,ch,14.7571608446754
2020-01-12,tages_distanz_10-20km_alter_3064,ch,12.5610433399362
2020-01-12,tages_distanz_10-20km_alter_6579,ch,12.0635313842402
2020-01-12,tages_distanz_100pluskm,ch,12.003676204464
2020-01-12,tages_distanz_100pluskm_alter_1529,ch,14.0131276957699
2020-01-12,tages_distanz_100pluskm_alter_3064,ch,12.6777432230451
2020-01-12,tages_distanz_100pluskm_alter_6579,ch,5.84192307417153
2020-01-12,tages_distanz_2-10km,ch,22.2778724024405
2020-01-12,tages_distanz_2-10km_alter_1529,ch,19.5022020588017
2020-01-12,tages_distanz_2-10km_alter_3064,ch,21.7078823206485
2020-01-12,tages_distanz_2-10km_alter_6579,ch,29.1613273714555
2020-01-12,tages_distanz_20-50km,ch,18.2641064992549
2020-01-12,tages_distanz_20-50km_alter_1529,ch,19.8478780916516
2020-01-12,tages_distanz_20-50km_alter_3064,ch,18.1911310818405
2020-01-12,tages_distanz_20-50km_alter_6579,ch,16.1315474117245
2020-01-12,tages_distanz_50-100km,ch,11.0933890971151
2020-01-12,tages_distanz_50-100km_alter_1529,ch,13.6453995948844
2020-01-12,tages_distanz_50-100km_alter_3064,ch,11.0748956117405
2020-01-12,tages_distanz_50-100km_alter_6579,ch,7.21037707928361
2020-01-12,tages_distanz_weniger2km,ch,23.3870432820327
2020-01-12,tages_distanz_weniger2km_alter_1529,ch,18.2342317142169
