time,availability,geo,value
2019-02-04,immediate,tg,1472
2019-02-04,immediate,ti,5092
2019-02-04,immediate,tot,86356
2019-02-04,immediate,ur,226
2019-02-04,immediate,vd,11606
2019-02-04,immediate,vs,6891
2019-02-04,immediate,zg,652
2019-02-04,immediate,zh,16340
2019-02-04,tot,ag,11594
2019-02-04,tot,ai,120
2019-02-04,tot,ar,657
2019-02-04,tot,be,11507
2019-02-04,tot,bl,4220
2019-02-04,tot,bs,3802
2019-02-04,tot,fr,6879
2019-02-04,tot,ge,13250
2019-02-04,tot,gl,491
2019-02-04,tot,gr,2489
2019-02-04,tot,ju,1796
2019-02-04,tot,lu,5046
2019-02-04,tot,ne,4965
2019-02-04,tot,nw,360
2019-02-04,tot,ow,252
2019-02-04,tot,sg,7817
2019-02-04,tot,sh,1704
2019-02-04,tot,so,4145
2019-02-04,tot,sz,1803
2019-02-04,tot,tg,4105
2019-02-04,tot,ti,9401
2019-02-04,tot,tot,158355
2019-02-04,tot,ur,315
2019-02-04,tot,vd,21792
2019-02-04,tot,vs,9832
2019-02-04,tot,zg,2240
2019-02-04,tot,zh,27467
2019-02-05,immediate,ag,5910
2019-02-05,immediate,ai,87
2019-02-05,immediate,ar,214
2019-02-05,immediate,be,5835
2019-02-05,immediate,bl,2185
2019-02-05,immediate,bs,2453
2019-02-05,immediate,fr,3796
2019-02-05,immediate,ge,8940
2019-02-05,immediate,gl,230
2019-02-05,immediate,gr,1428
2019-02-05,immediate,ju,975
2019-02-05,immediate,lu,2251
2019-02-05,immediate,ne,3309
2019-02-05,immediate,nw,113
2019-02-05,immediate,ow,75
2019-02-05,immediate,sg,2523
2019-02-05,immediate,sh,1006
2019-02-05,immediate,so,1830
2019-02-05,immediate,sz,734
2019-02-05,immediate,tg,1471
2019-02-05,immediate,ti,5092
2019-02-05,immediate,tot,86343
2019-02-05,immediate,ur,226
2019-02-05,immediate,vd,11604
2019-02-05,immediate,vs,6891
2019-02-05,immediate,zg,652
2019-02-05,immediate,zh,16334
2019-02-05,tot,ag,11593
2019-02-05,tot,ai,120
2019-02-05,tot,ar,657
2019-02-05,tot,be,11506
2019-02-05,tot,bl,4219
2019-02-05,tot,bs,3802
2019-02-05,tot,fr,6879
2019-02-05,tot,ge,13250
2019-02-05,tot,gl,491
2019-02-05,tot,gr,2489
2019-02-05,tot,ju,1796
