time,sa,value
2008-11-16,nsa,15.2
2008-11-16,sa,92.2
2008-11-17,nsa,122.8
2008-11-17,sa,93.3
2008-11-18,nsa,134.6
2008-11-18,sa,92.4
2008-11-19,nsa,134
2008-11-19,sa,89.4
2008-11-20,nsa,132.8
2008-11-20,sa,91.7
2008-11-21,nsa,112.7
2008-11-21,sa,90.7
2008-11-22,nsa,40.4
2008-11-22,sa,90.8
2008-11-23,nsa,15.2
2008-11-23,sa,91.2
2008-11-24,nsa,120.2
2008-11-24,sa,90.5
2008-11-25,nsa,135.1
2008-11-25,sa,91.5
2008-11-26,nsa,136.4
2008-11-26,sa,91.7
2008-11-27,nsa,132.3
2008-11-27,sa,91.2
2008-11-28,nsa,113.4
2008-11-28,sa,91.4
2008-11-29,nsa,41.1
2008-11-29,sa,92.3
2008-11-30,nsa,15.5
2008-11-30,sa,91.6
2008-12-01,nsa,121.3
2008-12-01,sa,92.3
2008-12-02,nsa,136.1
2008-12-02,sa,94.3
2008-12-03,nsa,135.7
2008-12-03,sa,91.1
2008-12-04,nsa,132.8
2008-12-04,sa,90.9
2008-12-05,nsa,113
2008-12-05,sa,90.9
2008-12-06,nsa,40.9
2008-12-06,sa,91.6
2008-12-07,nsa,15
2008-12-07,sa,90.8
2008-12-08,nsa,117.8
2008-12-08,sa,89.8
2008-12-09,nsa,132.2
2008-12-09,sa,91.1
2008-12-10,nsa,134.5
2008-12-10,sa,90.7
2008-12-11,nsa,131.7
2008-12-11,sa,90.2
2008-12-12,nsa,113.8
2008-12-12,sa,91.2
2008-12-13,nsa,42.5
2008-12-13,sa,92.5
2008-12-14,nsa,16
2008-12-14,sa,90.8
2008-12-15,nsa,119
2008-12-15,sa,89.6
2008-12-16,nsa,132.5
2008-12-16,sa,90
2008-12-17,nsa,131.4
2008-12-17,sa,88.5
2008-12-18,nsa,126
2008-12-18,sa,86
2008-12-19,nsa,103.4
2008-12-19,sa,84.1
2008-12-20,nsa,38.7
2008-12-20,sa,96.3
2008-12-21,nsa,14.2
2008-12-21,sa,62.3
2008-12-22,nsa,81.5
2008-12-22,sa,84.4
2008-12-23,nsa,70.6
2008-12-23,sa,91.1
2008-12-24,nsa,18.8
2008-12-24,sa,84.4
2008-12-25,nsa,2.7
2008-12-25,sa,83.7
2008-12-26,nsa,4.8
2008-12-26,sa,80.1
2008-12-27,nsa,12.6
2008-12-27,sa,82.8
2008-12-28,nsa,9.1
2008-12-28,sa,84.8
2008-12-29,nsa,53.1
2008-12-29,sa,88.5
2008-12-30,nsa,50.5
2008-12-30,sa,91.8
2008-12-31,nsa,16.7
2008-12-31,sa,87.4
2009-01-01,nsa,6.2
2009-01-01,sa,83.2
2009-01-02,nsa,35.9
2009-01-02,sa,76.2
2009-01-03,nsa,18
2009-01-03,sa,67
2009-01-04,nsa,10.3
2009-01-04,sa,62.1
2009-01-05,nsa,73.5
2009-01-05,sa,86.9
2009-01-06,nsa,79.9
2009-01-06,sa,96.3
2009-01-07,nsa,100.8
2009-01-07,sa,83.4
2009-01-08,nsa,105.9
2009-01-08,sa,82.2
2009-01-09,nsa,92.9
2009-01-09,sa,84.3
2009-01-10,nsa,36.6
2009-01-10,sa,90.6
2009-01-11,nsa,14.7
2009-01-11,sa,91.2
2009-01-12,nsa,105.6
2009-01-12,sa,85.1
2009-01-13,nsa,120.3
2009-01-13,sa,87.7
2009-01-14,nsa,121
2009-01-14,sa,88.1
2009-01-15,nsa,118.6
2009-01-15,sa,88.2
2009-01-16,nsa,101.4
2009-01-16,sa,88.8
2009-01-17,nsa,36.3
2009-01-17,sa,88.3
2009-01-18,nsa,14.6
2009-01-18,sa,88.1
2009-01-19,nsa,109.9
2009-01-19,sa,87.6
2009-01-20,nsa,123
2009-01-20,sa,88.4
2009-01-21,nsa,124.3
