time,direction,rnwy,time_frame,value
2020-03-26,arrival,14,2200,0
2020-03-26,arrival,16,0006,0
2020-03-26,arrival,16,0622,0
2020-03-26,arrival,16,2200,0
2020-03-26,arrival,28,0006,0
2020-03-26,arrival,28,0622,2
2020-03-26,arrival,28,2200,1
2020-03-26,arrival,34,0006,0
2020-03-26,arrival,34,0622,4
2020-03-26,arrival,34,2200,0
2020-03-26,arrival,all,total,44
2020-03-27,arrival,14,0006,0
2020-03-27,arrival,14,0622,39
2020-03-27,arrival,14,2200,0
2020-03-27,arrival,16,0006,0
2020-03-27,arrival,16,0622,0
2020-03-27,arrival,16,2200,0
2020-03-27,arrival,28,0006,0
2020-03-27,arrival,28,0622,4
2020-03-27,arrival,28,2200,0
2020-03-27,arrival,34,0006,0
2020-03-27,arrival,34,0622,3
2020-03-27,arrival,34,2200,0
2020-03-27,arrival,all,total,46
2020-03-28,arrival,14,0006,0
2020-03-28,arrival,14,0622,20
2020-03-28,arrival,14,2200,0
2020-03-28,arrival,16,0006,0
2020-03-28,arrival,16,0622,2
2020-03-28,arrival,16,2200,0
2020-03-28,arrival,28,0006,0
2020-03-28,arrival,28,0622,0
2020-03-28,arrival,28,2200,0
2020-03-28,arrival,34,0006,0
2020-03-28,arrival,34,0622,5
2020-03-28,arrival,34,2200,0
2020-03-28,arrival,all,total,27
2020-03-29,arrival,14,0006,0
2020-03-29,arrival,14,0622,24
2020-03-29,arrival,14,2200,0
2020-03-29,arrival,16,0006,0
2020-03-29,arrival,16,0622,1
2020-03-29,arrival,16,2200,0
2020-03-29,arrival,28,0006,0
2020-03-29,arrival,28,0622,0
2020-03-29,arrival,28,2200,0
2020-03-29,arrival,34,0006,0
2020-03-29,arrival,34,0622,10
2020-03-29,arrival,34,2200,0
2020-03-29,arrival,all,total,35
2020-03-30,arrival,14,0006,0
2020-03-30,arrival,14,0622,27
2020-03-30,arrival,14,2200,0
2020-03-30,arrival,16,0006,0
2020-03-30,arrival,16,0622,3
2020-03-30,arrival,16,2200,0
2020-03-30,arrival,28,0006,0
2020-03-30,arrival,28,0622,0
2020-03-30,arrival,28,2200,0
2020-03-30,arrival,34,0006,0
2020-03-30,arrival,34,0622,4
2020-03-30,arrival,34,2200,1
2020-03-30,arrival,all,total,35
2020-03-31,arrival,14,0006,0
2020-03-31,arrival,14,0622,21
2020-03-31,arrival,14,2200,0
2020-03-31,arrival,16,0006,0
2020-03-31,arrival,16,0622,0
2020-03-31,arrival,16,2200,0
2020-03-31,arrival,28,0006,0
