time,direction,geo,value
2009-05-27,out,ch,147666681.684
2009-05-27,out_incl_losses,ch,168639553.21475
2009-05-28,in,ch,231235104.969
2009-05-28,out,ch,147127221.633
2009-05-28,out_incl_losses,ch,166081746.95675
2009-05-29,in,ch,224558087.569
2009-05-29,out,ch,143320686.998
2009-05-29,out_incl_losses,ch,160712591.1155
2009-05-30,in,ch,208602457.193
2009-05-30,out,ch,120059969.862
2009-05-30,out_incl_losses,ch,137926268.0775
2009-05-31,in,ch,195408326.184
2009-05-31,out,ch,108000310.044
2009-05-31,out_incl_losses,ch,127170417.004
2009-06-01,in,ch,194628039.547
2009-06-01,out,ch,112562534.779
2009-06-01,out_incl_losses,ch,130421615.3655
2009-06-02,in,ch,211543437.432
2009-06-02,out,ch,144179444.124
2009-06-02,out_incl_losses,ch,159139722.11775
2009-06-03,in,ch,206340558.397
2009-06-03,out,ch,146334560.932
2009-06-03,out_incl_losses,ch,162736454.348
2009-06-04,in,ch,215790745.813
2009-06-04,out,ch,146821853.817
2009-06-04,out_incl_losses,ch,161522126.315
2009-06-05,in,ch,216103804.567
2009-06-05,out,ch,145601432.257
2009-06-05,out_incl_losses,ch,159871482.02775
2009-06-06,in,ch,193954139.844
2009-06-06,out,ch,124510661.476
2009-06-06,out_incl_losses,ch,141969097.60725
2009-06-07,in,ch,183800075.234
2009-06-07,out,ch,111561766.6
2009-06-07,out_incl_losses,ch,129936314.44725
2009-06-08,in,ch,194288619.18
2009-06-08,out,ch,144583103.471
2009-06-08,out_incl_losses,ch,159117712.67575
2009-06-09,in,ch,199186584.393
2009-06-09,out,ch,148223331.74
2009-06-09,out_incl_losses,ch,163565282.17275
2009-06-10,in,ch,195624176.741
2009-06-10,out,ch,146591818.253
2009-06-10,out_incl_losses,ch,160909357.451
2009-06-11,in,ch,187975302.236
2009-06-11,out,ch,137526193.727
2009-06-11,out_incl_losses,ch,152322882.15475
2009-06-12,in,ch,191901326.586
2009-06-12,out,ch,139060985.927
2009-06-12,out_incl_losses,ch,153081483.3665
2009-06-13,in,ch,188497994.974
2009-06-13,out,ch,120416289.289
2009-06-13,out_incl_losses,ch,134639229.0165
2009-06-14,in,ch,179081929.765
2009-06-14,out,ch,111198385.352
2009-06-14,out_incl_losses,ch,125706900.43
2009-06-15,in,ch,206713645.549
2009-06-15,out,ch,149248175.223
