"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2011-05-01,17.46,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-06-01,19.56,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-07-01,15.5,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-08-01,5.86,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-09-01,-0.78,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-10-01,0.31,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-11-01,-2.12,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2011-12-01,-0.52,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2012-01-01,2.8,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2012-02-01,0.71,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2012-03-01,-1.23,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2012-04-01,4.66,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
2012-05-01,1.38,"Wirtschaft","geschaeftslage_verarbeitenden","Geschäftslageindikator für das Verarbeitende Gewerbe","CH","Anteil","KOF Konjunkturforschungsstelle","monatlich","ja","https://github.com/KOF-ch/economic-monitoring"
